number,title,author,rating /5⭐,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
59,hello stranger,katherine center,1.50,30.00%,323,"2,023",romance,adult,December 17,December 18,2.0,"dnf ~33%

i... really could not carry on reading it. i really wanted to especially with the premise of a portrait artist getting into an accident and becoming faceblind despite just recently gaining a huge opportunity as an artist.. but yeah, considering that i didn't like the first book of center's that i read that much, i hoped it would be at least like that,, but it aint. 

these were the last straw:

1. sadie has a shitty family with a stepmother that's condesending, and hates sadie's dead mother, her indifferent?  or distant father that disapproves of her career in art/painting instead of a doctor like him, a gaslighting, lying, manipulative stepsister that gave her trauma in high school and the parents don't believe sadie that this stepsister is like this

2. the levels of delusion that sadie has, i-..... cannot. also the whiny complaining. i could get over that and ignore it in a good book, but there was nothing else to cling to, other than finding out if she gets better from her condition, and that was simply not enough to keep going.

3. why the fuck has she been feeding her dog human food only... and not like even acceptable healthy food like steak and greens, non-kibble things that are acceptable for a dog's diet but it's pad thai?? croissants?? curry?? i simply cannot. i got too angry about it. (also that she explains this to a vet like a quirky girl with the whole ""my dog is not like other dogs"" shtick made that even more cringe)

4. a love triangle with what she views as a creep and a veterinarian that is steve rogers/clark kent personified to the point of delusional believing that she's destined to be with him like a 8 year old child with a crush and not a 30 year old woman.. 

a generous 1.5 stars rounded to 2 just bc i didn't read the whole book lol 

((yes i did skim read the rest of the book just to find out if anything happens with her dad, who she ends up with and etc. much to say i'm glad i didn't bc i would've gone insane trying to finish this book xdd)) 

for logging purposes i will put this as my read and read in 2023 shelves but do i really count it? not really lmao", ,
60,the roommate pact,allison ashley,4.00,80.00%,320,"2,023",romance,workplace,December 19,December 20,2.0,"i really loved this book

(and once i got to the acknowledgments, i was like no shot that the next book i was to read was in the same universe but yet, it is. i’ve added both books to be library reserved at different times, i think nearly weeks apart and yet the way things lined up i end up reading books that are not only from the same author, which i didnt realize but also reading the continuation/sequel to the next book i was gonna read) 

loved both graham and claire, their unique and fun personalities both separate and together. how an injury and temporary lifestyle change can bring two people closer, flowed very well. interestingly, despite their chemistry and constant making out, the author alluded to spice scenes and never included them which was surprisingly refreshing and personally not like a turn off or whatever (maybe bc ive read so many books just prior to this one where all the spice scenes were either overwhelming to keep reading them over and over or boring because of their constant occurrences.. hmm)

ive mentioned before but i always enjoy a book where the characters are complex and  have dimensional backgrounds with traumas or flaws that they work through the book (whether they learn and grow through those with their romantic interest or individually) and i think for the most part it did do so. maybe the delivery over the course of the book was not the smoothest landing, some mild turbulence if you will, to lean into the metaphor. but overall execution of the plot with the two characters going through their hurdles was endearing? heartwarming? don’t know the word but sad but encouraging and positive?

also the pacing to the end in the last 3-4 chapters felt a bit choppy? as the author was trying to wrap things together, tie the loose strings. don’t know how would to fix it but didn’t flow the best 

but yeah, maybe not like the best book but i think it was good and fun and the emotional journey (both with each other and individually) was enjoyable to read :)", ,
61,heartstopper: volume two,alice oseman,4.00,80.00%,320,"2,019",romance,teen/ya,December 27,December 27,1.0,"idk what to say it was cute and fun
", ,
62,would you rather,allison ashley,4.25,85.00%,320,"2,022",romance,workplace,December 21,December 28,8.0,"was a cute fun read, but also undercut with emotion and grief from both sides, with noah and mia. 

was in an interesting spot since ive read the technical sequel but it was nice to see claire and graham alongside the main couple. overall the characters, especially mia and noah felt very well formed?

i was supposed to write this review the day of finishing but then i went to bed and promptly forgot it until now, two days later so i don’t remember all my thoughts uhh

pacing was okay? (from what i remember) how things unraveled, from the marriage of convenience, to the emotional grief and traumas that both characters were undergoing, that pacing and way it was worked through and revealed felt okay? the antagonist and whole conflict of the book i felt meh about and kinda felt like something was missing (but again i don’t remember so maybe there was the thing that i feel now that was missing but was there uhhh lol)

overall fun book, love a good emotional character journey alongside a romance ", ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,stats:,,,,,,,,number read by month,,,, ,
,total books read for the year,62,,,,,,,month,count,,, ,
,average rating of the year,4.08,,,,,,,january,5,,, ,
,average percentage of the year,81.50%,,,,,,,february,5,,, ,
,average books read per month,5.17,,,,,,,march,4,,, ,
,average time read per book,34.37,,,,,,,april,5,,,,
,average page count per book,385.06,,,,,,,may,2,,, ,
,average year published,"2,019",,,,,,,june,3,,, ,
,,,,,,,,,july,7,,, ,
,,,,,,,,,august,2,,, ,
,,,,,,,,,september,1,,, ,
,,,,,,,,,october,10,,, ,
,,,,,,,,,november,10,,, ,
,,,,,,,,,december,8,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
,,,,,,,,,,,,, ,
