number,title,author,star rating,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
47,let's go let's go let's go,cleo qian,3.50,70.00%,256,"2,023",contemporary,adult,2023-11-05,2024-07-01,240.0,"overall this collection of short stories was interesting especially having not only a female asian writer but also stories mostly in that perspective. but i did have to force myself to finish reading it and most of the stories were okay or didn’t feel fleshed out? and didn’t feel like a full story. the girl with double eyelids was probably my favorite of the 11 stories.

average rating: 3.39 stars
overall rating: 3.5 stars

individual thoughts/reviews:

chicken. film. youth.
probably will be a similar sentiment for all the stories but relatable story environment with the characters and circumstances. the main story seems like it was occurring within the chicken shop man telling the story? though intriguing a bit confused, like the delivery and presentation was unique but the message (at least how I interpret it) felt a beat off with this unique presentation 
3 stars

monitor world
creepy eerie made my skin crawl and probably didn’t help that i read this late at night about a creepy man who’s with a girl 10-15 years younger at least 🥴 interesting perspective on the internet world though, not strongly through the story 
2.75 stars

zeros:ones
interesting concept. not sure how the story was going and then it just ended. related to luna? i think is her name, but how she felt during the transition period in her life as she’s in a fellowship post graduation feeling lost and empty as she reflects on her relationships past and present
3.5 stars

wing and the radio
i think how the story started and how it was leading with the two perspectives i liked, but then it drifted it off only connecting in the end. and even how it connected i can accept but idk i wanted a bit more? thematically enjoyed, the feelings of being lost, similar to the previous story, even other ones too, about reflection and mixture of regret, melancholy, wistfulness, i did enjoy. a sad tone with no expected concrete ending but more like a glimpse into both of these character lives with maybe a changing point in their lives. 
3.25 stars

the girl with double eyelids
i think i liked this one the most, maybe because it was the longest story in the book, so it felt more fleshed out and could learn more the characters. the theme was eerie but realistic, and even though there was no clear explanation or resolution, xiao yun seeing the invisible tattoos as omens about the person made the story interesting.
4 stars

the virtuoso
reading about a girl aiming to be the best at piano in her state reminded me of my years playing and practicing. interesting thoughts and themes about striving to be the best, that even feeling like you were perfect, that perfection was not there, the feeling of falling short that someone’s better. 
3.75 stars

let’s go let’s go let’s go
interesting story and concept, for this i did like the more open ended ending, adds to the mystery of not only lily but also this retreat? cult-like? collective? 
3.5 stars

power and control
the concept and story was interesting how greta was spiraling in the relationship, and how we realize at the end how it connects back to the beginning of the story. curious how alchemy was a part of the story, not familiar with it but do know it in general, especially with more fantasy books. 
3.5 stars

we were here
not sure how it would go but idk it felt listless with how the mc was drifting between things figuring out what she’s doing. felt relatable to me, being in similar position. but beyond that i dunno.
3.25 stars

messages from earth
i liked that the two characters were in periods of transition, trying to figure out life while in the beginning stages of adulthood, going to college. but also the before and after? with luna and vicki, one at the start of transition and the other towards the end, separating from traditional parents. was poetic? with that theme but otherwise no other clear plot or narrative
3.5 stars

seagull village
interesting concept that i liked and felt it was executed somewhat well. also questions the concept of why the narrator? came to this village, for what purpose
3.25 stars", ,
48,chain of gold,cassandra clare,4.25,85.00%,582,"2,020",paranormal,historical,2024-07-03,2024-07-09,7.0,"was kinda approaching a book slump? or more just grieving that i couldn't continue reading the throne of glass series bc the library rentals are at least months of waiting and i don't have my physical copies waiting. which sorta explains why it took longer than expected to finish this book. but also, maybe due to it being the first in a trilogy was a slow start, at least plot wise, made it hard to be hooked onto it

but man, it's like seeing an old friend, being in the shadowhunters universe, much less with my favorite of the two main groups? with the london crowd, all now grown and reading about their kids in their late teen formative years. most of the characters felt unique, but also strongly resembling characteristics of the original london group, making sense since they are the children other than cordelia, of henry, will, jem, tessa, gideon, gabriel, cecily, charlotte, sophie, etc etc. also it was fun to see appearances of magnus bane and ragnor fell, and an ominous visit with the mention of malcolm fade (if you read dark artifices... well yeah) each of the main group felt unique and recognizable, though due to the larger group of the 6 + alstair and grace lol i always had to take a second to remember the parentage of christopher and thomas. 

there were definitely references of couple of the short stories from shadowhunters academy that i sorta remember vaguely but not enough to recall the details about the tension between alstair and the merry thieves. i could see for many people, sorta including myself that the amount of characters introduced can be overwhelming, with the carstairs, herondales, lightwoods, and fairchilds, in all their messy complicated glory. 

the plot was a slow burn for sure, as mentioned. it does make sense given it is the start to a trilogy and many of the key pieces are hidden from us or only starting to unravel at the end of this book which made me mad, to the point of the old days when i was younger reading books and chucking something in anger or frustration, knowing what was happening but the main characters be in the dark haha

i did again like i did with dark artifices, with wanting to remember details look up character bios on the wiki and spoil elements of the story with certain character details that would be revealed or hinted at, though i did stop myself from finding out more details and was still able to enjoy the story unfolding and learning how the story arrived to certain major plot points. 

seems interesting how things are set up, playing into the concept of the first shadowhunter/warlock  people with lucie and james. harkens back to clary and jace in the original series, though that was less obvious given that lucie and james have that warlock background and context. this trilogy being a direct sequel to the infernal devices is interesting and am curious how things from that first trilogy further connects to this one. 

note: man i want to strangle grace and matthew but for completely different reasons. oh also add james there too. the miscommunication is strong in this book with its relationship dynamics and though adds tension and more plot devices also makes me want to bang my head on the wall because it's so frustrating alkfjlwiefakw oh yes let's keep a secret about something that is very important but not share it to anyone and keep it to ourselves and it definitely won't go over badly by doing this.. -.-

overall. strong start to the trilogy. felt very exposition-y and felt like it dragged a bit but i can't specify on specific part that it did per say", ,
49,chain of iron,cassandra clare,4.25,85.00%,656,"2,021",paranormal,historical,2024-07-10,2024-07-15,6.0,"well. i'm still in such whiplash from that ending thinking about it and i needed a bit before i sat down to write my thoughts lol

this book really flew by for me, i think the plot was unraveling well (to my annoyance for wanting to know what was happening lol) and kept me gripped reading through, especially considering for me it's a decently hefty book at around 600+ pages. 

i enjoyed living through these characters, despite all the silly dumb annoyingly stupid things that they would do, how sometimes they were so blinded or trusting by someone else for the plot to twist into more catastrophe. especially at certain points, i did get annoyed by characters being too blinded, basically in their good nature and seeing the best in people that they would help someone to only continue to cause them pain by said person. like, james, lucie, really, we are doing this again? again the frustration that ""oh i can't tell them 'xyz' because they won't forgive me or i can't do that to them by letting them know"" and it made me want to strangle them a little or slam my head on the wall... lol :/

i am curious as to how this trilogy will wrap up and the plot lines will tie together. but overall i enjoyed it? this book but definitely some annoyances that the same character issues keep cropping up and not being resolved. like the miscommunication and secrets between the merry thieves + cordelia & lucie are just adding more and more secrets... sigh

also i hate being taunted by cordelia and james being an actual thing for it to only be ripped away by annoying little grace.. smh... lol", ,
50,mistborn: the final empire,brandon sanderson,4.25,85.00%,541,"2,006",fantasy,adult,2024-07-16,2024-07-27,12.0,"ah yes i finally decided to go into the belly of the beast and start tackling brandon sanderson books after all these years of wanting to but never got to it, and boy i wasn’t disappointed 

it definitely took a moment to get into the story, with getting used to sanderson’s writing style and all the exposition. i also did struggle in the beginning with getting attached to the characters? or moreso it was hard to grasp rooting for the characters? yes i thought they were interesting and their motivations too but maybe because of each characters’ flaw very evident in the beginning of the story made it hard to do so idk especially considering the heist-like premise which would normally hook me into the story

that being said i felt that the characters were so strong and individual/distinct, having both good and bad qualities, which i did enjoy. 

i think what continued to draw me in was the whole plot/premise, curious how these characters were gonna pull off a rebellion or sorts against a sort of god. the whole magic(?) system with metals is really fascinating, especially with how they tap into both mental and physical abilities. i also appreciate the politics with all its complications and nuances, with not just the nobility but also the inquisitors, which were like another branch of government but were significantly more powerful given they had mistborn abilities? or even beyond such. 

it took effort to not try and finish the book last night just incase the ending was a cliffhanger and i would be awake until like 4 am reeling lol. so much to say that even though i struggled a bit in the beginning to get into it, whenever i took a chunk of time to read, the chapters flew by

overall i enjoyed delving into the world of mistborn and the whole magic system and politics and social classes. knowing that this trilogy extends into a greater sanderson universe i’m very curious to how things will unfold with vin and the rest of them :)

4.25 stars", ,
51,asap,axie oh,4.00,80.00%,352,"2,024",romance,fame/celebrity,2024-07-27,2024-07-28,2.0,"this was fun to read, a nice break between reading a bunch of fantasy books and man i zipped through this. 

i think i liked this one a bit more than ""first"" book of xoxo, maybe because i got used to the characters and the group after reading the book so it was more fun coming back to these characters and getting to see nathaniel and sori get their time as the mc's

i enjoyed the arc of sori trying to find herself with realizing that she doesn't want to be a kpop singer anymore and finding a balance in her relationships both platonic with jenny and romantic with nathaniel

naturally with stories about high school/college aged kids there is a level of cringeyness coming from a person years out from college, but it felt natural and realistic to an extent and i could gloss over the second-hand embarrassment

overall very fun and happy to see these characters in this sorta sequel from xoxo. normally i'm not that crazy about second chance romance but i enjoyed how it was, maybe because they were friends despite breaking up.. and also the tension between the two increasing was exciting ", ,
52,the maid,nita prose,2.75,55.00%,304,"2,022",mystery,contemporary,2024-07-29,2024-07-31,3.0,"i feel like i need to cleanse myself by reading mystery novels like agatha christie or arthur conan doyle or heck, even gillian flynn after reading this lmao

i was hopeful at the beginning of this book, as i enjoy mystery/crime stories but have to gotten to reading them that much. not to mention that i was charmed with molly, who i related to an extent about having a particular structure to things and having things clean. as i continued to read, molly had more characteristics that were similar to of a neurodivergent person. but i was disappointed when this was just passed off as a “quirk” and other characters saw her as robotic and odd. i was frustrated so much for her, that the author danced around this and never addresses it despite the whole backstory of being bullied when she was younger and taken advantage of by many people as the story progresses due to her lack of ability to recognize facial expressions (DESPITE this is a plot hole since that was something she has been working on since she has been growing up with gran and in the beginning of the story is able to recognize it? like huhh)

i also was under the assumption? or the premise lead me to believe that molly would be the one solving the mystery case when she didn’t, and unfortunately was dragged into things unknowingly, even though the author makes it evident for us the reader to realize that she’s swept up in helping juan manuel and rodney because of her good will and romantic interest respectively. honestly it was quite painful and frustrating to see it happen with her accepting or being blinded because of it. 

the ending wrapped up okay, though it did feel somewhat predictable and corny, but i also dislike that the final details of the crime was added almost like an afterthought in the end of the epilogue. not to mention that the reasoning of molly's actions from that epilogue make no sense going back from her as a person in her beliefs that were established at the beginning of the book. idk man this just irked me that such a major plot point is just stuffed at the very end of the epilogue with no sense of how the plot flowed with things already wrapping up. like it could've been delivered better, even if it was still at the end of the book. ", ,
53,a witch's guide to fake dating a demon,sarah hawley,3.75,75.00%,367,"2,023",romance,paranormal,2024-08-09,2024-08-13,5.0,"i needed a break of romance after going through a lot of big fantasy novels, especially as i'm slogging through brandon sanderson's well of ascension, something that i am enjoying just i don't gravitate towards reading it all the time

this was very fun and reminded me that i should try to find more light-hearted urban fantasy? romance or otherwise books. or even just paranormal characters in the real world

had some frustrations with the whole miscommunication-type conflicts, or simply just the mistrust, which understandably so given the initial circumstances, but the fact that oz and mariel circled back to this mistrust and assuming the worse without hearing out too many times for my comfort got to be a bit frustrating. wish that the resolution? of the conflict as well as the revelations felt too rushed at the end, how things were spiraling then bam crux of the issue then bam resolved, then bam last chapter everything's all good. with how the author structured things, it made sense with how it progressed, and just tacking on more chapters wouldn't necessarily fix this mild peeve i have, nor do i have a clear solution to how i would hypothetically fix this rushing to the ending issue

on the other hand, i did love the growth arc that mariel went through, the frustrating aspects of her bearing through her mother's insults, struggling to find boundaries with her through confrontation as well as realizing her supporters, and taking strength from them to face her issues head on. the confidence that grew in her was lovely to read as the story progressed, and liked how one conflict that mariel stood up for, helped her set up for the next one, with a little more and more confidence to speak up with her feelings <3 wish we got a bit more in seeing oz's growth trajectory, but maybe because it was in conjunction with mariel's but it just felt like it happened and we're at the end with him in love and standing up for himself, even though the path to here was unclear at a good chunk of times.

overall was a fun book, felt a bit rushed with the ending and how things wrapped up a bit fast, and would've wanted more mmc on-page time with personal growth", ,
54,the well of ascension,brandon sanderson,4.25,85.00%,590,"2,007",fantasy,adult,2024-08-01,2024-08-22,22.0,"i’m still mentally reeling from that ending…

i struggled a bit to continue reading in the middle of the book, as the politics were increasing. ironic, given that usually i enjoy learning about government politics, and it’s not an issue in this book, but more personally i wasn’t hooked enough to fuel through it. but in hindsight i do appreciate those elements, especially as it builds in tension and plot but also how the characters, namely elend reveal their morals and values and opinions, and how they may change or develop by the end of the book. 

speaking of, i really loved the character development of the main crew, how they changed given the circumstances of the post-coup environment of scrambling to figure out how to manage the government system and kingdom-ship as well as adjusting and adapting from the rag-tag thieving group with a heist plot to nobility and leadership positions in a monarchy. i did like that vin and elend’s relationship was more in focus with this book, accounting for the imbalances in their relationship, mistborn and not, assassin and king. we got to witness their struggles grappling somewhat unknowingly through these imbalances all while dealing with neighboring kings wanting to seize power. 

ah yes, the introduction of the unknown mistborn, that we later find out is zane. not to get into heavy spoilers, but i am curious about some things that were not addressed that may be connected to what vin heard at the end of the the book. not to mention marsh, who was absent from most of the book, only to flit in and out occasionally, which had me having more questions about what’s going on with him, especially when it seems the inquisitors are still around? but not in luthadel? 

the plot was definitely a slow burn with how conflicts were building and for the most part did enjoy that aspect. yes, i did struggle during the slow parts, similar to empire of storms, but once i was in a groove reading, i powered through multiple chapters. it did help having the library ebook deadline being due in x amount of time so i had to read x amount of chapters a day to finish in time, creating almost like a marathon environment reading this. lol

overall i did very much enjoy this book with the war politics. i’m excited to read the finale of this mistborn trilogy which perfect timing, i just got the library ebook a couple days before finishing. but i do have other rentals i need to finish first before starting aha

4.25 stars", ,
55,the game changer,lana ferguson,3.75,75.00%,400,"2,024",romance,sports,2024-08-15,2024-08-23,9.0,"brain too tired to write so later but i liked it

later:

i liked the emotional complex elements to this story, with ian’s backstory having a terrible father that’s verbally and emotionally abusive. i wish that there was more with delilah’s part, whether it be on her and jack’s parents dying when they were young or something else 

i liked having jack in the story as a character, connecting the two mc’s but also felt like he was just there? at most for comic relief and to play the brother in the brother’s best friend trope so it felt like he needed more to him as a character

overall was fun read with some emotional aspects and maybe would’ve liked either more baking or more hockey in the story but it felt like we only got a little of both", ,
56,the fake mate,lana ferguson,3.75,75.00%,372,"2,023",romance,workplace,2024-08-23,2024-08-25,3.0,"the whole premise was intriguing to me, especially as i’ve been wanting to read some paranormal romance lately and this was a little silly, light but fun to read before i go into more heavier? ish content with sally rooney and finishing the last book in the mistborn original trilogy lol

the whole omegaverse was not a surprise or new to me, maybe because in high school i read a lot of fanfiction of varying genres and universes so the omegaverse trope was familiar from the details i remember. thus said details were not offputting or surprising to read, (i.e. growling, turning into a wolf, sex-related elements specific to omegaverse) i think the author, given the circumstances handled these elements well. i was a bit concerned but that was quickly diffused during the scene where noah and mackenzie turned into wolves and reached a point where description could go on for so long before dialogue would get… interesting… with them being in wolf form. 

i think the book does what it’s meant to do, and it had enough of the fake dating (or mated in this case) that i was satisfied with my hopes of it going into this book. i do maybe wish to elevate this book more, if we got to explore mackenzie’s orphan-ness and childhood trauma, to better explain her as a character and why she’s so headstrong and independent despite the stigmas of a female omega. likewise with noah, would have liked it more if we got to explore more about noah’s standoffish nature and why he feels the need to close himself off from people until mackenzie, and have little friendships and relationships due to it. yes it would change the book tone-wise but maybe because i enjoy romance books more when they go beyond the simple romance relationship, with emotional complexities and such. but c’est la vie

despite all that i did enjoy noah and mackenzie as characters, both individually and together, their goofy, snarky natures but also the tender and sweet relationship that developed over the course of the book. i found myself chuckling and laughing outloud while reading at certain points and surprisingly! did not cringe that much on the puns and dad jokes in this book despite my general dislike and cringing of such humor. 

i probably would’ve finished this in one day but it got stretched to three as i was busy during the day and only read right before bed, to the point of falling asleep, phone in hand lmao

overall it was a fun read and a little too much sex imo but given it’s an omegaverse book the amount of sex scenes tracks. i still love fake dating as a trope and will continue to consume books that have it. ", ,
57,"beautiful world, where are you",sally rooney,4.50,90.00%,337,"2,021",contemporary,romance,2024-08-25,2024-08-31,7.0,"i feel like unpopularly, i enjoyed this book more than normal people. or maybe my perspective shifted on heavy morally grey character books so i ended up enjoying this one more because of that. 

i also really enjoyed the format of the novel, even though it was an attribute of contention later in the story, i liked that before we switch into a different perspective of the book, between alice and eileen, we get a email letter one sending to the other, giving almost a glimpse of their headspace before going into the narrative chapter

i did have to shift my mind a bit in terms of how i saw the two main ""couples,"" eileen and simon and then alice and felix, as prior to this i have been reading a couple romance novels. i was intrigued about these two pairings, though more specifically on eileen and simon, maybe because personality wise is closer in more aspects to me compared to alice and felix. but my goodness, i was about to get frustrated at these characters, stuck in their own heads, unable to communicate, or even unable to form what their feelings for each other actually are. 

but, during the reframing, i saw the beauty in the broken, how it felt very human, realistic to witness these character grappling with such heaviness and confusion. and i related to this kind of confusion, grappling, stumbling through life, specifically in such the beginning of adulthood, trying to figure things out but things are not going in the same way as you would imagine in your head... learning to live not just as an individual, which is hard in itself but also adding other people into the equation, romantic or platonic relationships. 

plot wise, looking back it's not very simple but it's not overtly complex, felt like a nice balance, especially that it was moreso a character driven story. normally the whole story wrapping up in the last couple chapters would bother me, but pacing wise it felt okay? so not a bother in that sense. 

in such, the morally grey, confusing, frustrating characters, i enjoyed this read as they tried to navigate their lives, mainly with each other. ", ,
58,a demon's guide to wooing a witch,sarah hawley,3.50,70.00%,432,"2,023",romance,paranormal,2024-09-02,2024-09-07,6.0,"i'm starting to slow down with this unintentional marathon of reading because of many library ebooks due within a couple weeks. this book was sorta fun? but some reason didn't have the pull that the first book in this series did for me, like it did not suck me in the same way and kinda needed to push myself to read to finish in time (with 4 hours to spare lol)

overall i think the main things i liked and disliked in this book is basically the same as the precursor to this book. characters are interesting with interesting complex backgrounds, navigating emotional journeys as well as real ones with familial and community dynamics. i really disliked, more specifically in this one, how the conflict climax, twist, and resolution essentially happened in the last 2 chapters, mind you this book has 33 chapters total. not to spoil anything but it really just gets dropped at the end and things felt very hastily put together. the author made some great characters and even plot/conflict things, but ""landing the plane"" so to speak, felt kinda like an emergency landing. things made it in the end, but execution was shaky.

fun paranormal/fantasy romance but also kinda mid uhm", ,
59,heir of fire,sarah j. maas,4.50,90.00%,565,"2,014",fantasy,teen/ya,2024-09-12,2024-09-20,9.0,"2nd read, as i'm re-reading the series for the first time just so i can remember what happens and finally read (and finish) tower of dawn and also read for the first time kingdom of ash.. crazy to think i first read this series about 10 years ago

i have a lot of thoughts swirling in my head but also no words coming out erm so this review might be all over the place

re-reading this book reminded me why i loved, and have it in my favorite book collection. the pacing and plot development felt solid, how we get tidbits peeled back, and the threeish main perspectives going back and forth, revealing pieces of the war to come that we get not fully in context, to only be realized later as things start to tie together. if i remember correctly, this is the first, in the series that really focuses on these shifting perspectives, telling whole stories with each of the sorta main three characters (dorian and chaol sorta share, though for most of the book it's in chaol's pov at the rifthold parts). i remembered things as i progressed in the story, so plot points weren't that surprisng to me, though how they happen i didn't remember how the certain plot point unfolded so the overall story-reading experience was not ruined from me remember certain things

i always enjoy character driven plots, even though this is a fantasy novel, which i feel tend to lean more on the plot and political aspects of the book rather than character development as the main focus. we get to see celeana's training arc as fae and the grief she starts to process and accept, not only the events of book 2 but also her past, with her family and during her time as an assassin for hire. 

this book we also get to meet manon, a character that i remember loving to read about, her as the sorta grey-area character given her position in this book in this war forming with the king of adarlan. though we see towards the end of this book, her forming her own thoughts and opinions in the matter foreshadowing the next books with her arc, i was still happy to read about her and her journey with abraxos.

probably like with many people, i would get a little disappointed whenever the chapter would end and we switch to the rifthold pov with chaol, dorian, and aedion. while interesting in some aspects, and despite it seeming like it would get into more politics of things being in the capital with the king, it really felt surface level and like typical ya kids, teens or people in their early 20's trying to do rebellion things but with not much information being told (that we may already know from the other perspectives) so it just feels... meh. lol 

overall i really do enjoy it, while reading it time would just fly by and get through a whole chunk. 

i started reading this after taking a break after finishing crown of midnight, only because my library ebook of queen of shadows arrived so i don't have to painstakingly wait for the next book after the cliffhanger that i thought i would get from finishing this book lol", ,
60,queen of shadows,sarah j. maas,5.00,100.00%,648,"2,015",fantasy,teen/ya,2024-09-21,2024-09-29,9.0,"wow it's about 9 years ago minus 2 months, since i last read this book.. ha. 
also just in time with 1.5 hours to spare with my library rental, finishing the about last half of the book in the past two days... 

but what a whirlwind 

i always remembered that the plot and character arcs in 4 and 5 of this series felt so strong and intense. and it was as good as i remembered. though i would say that in terms of layers, it's pretty solid against a more ""typical"" fantasy book, i can say now after reading brandon sanderson xdd but truly after all these years, i really do feel like it still holds well. the layers of plot, and the twists! how each layer gets peeled back and then another wrench gets thrown into the mix and adds a new dynamic not just plotwise with aelin retaking her homeland but also the different characters all spread out both sides wise and location. from how i remember the last time i read this book, i didn't really remember much of the plot. tidbits here and there, like something about lysandra, to the key moment at the end, and some of the bigger lore bombs still felt monumental due to my brain forgetting what happened aha

i don't even know what to say anymore, erm. but very fun, nervous because i do remember the cliffhanger from the next book, but excited to read the journey of aelin and her court :^)

o7 have to pause reading this series despite getting the next book soon.. i have 2 romances and also hero of ages back from the library to read... but i did get assassins blade from the library, so fun get to be back in the world again even though it's not a continuation.", ,
61,heartstopper: volume four,alice oseman,4.25,85.00%,384,"2,021",romance,teen/ya,2024-09-26,2024-09-30,5.0,"idk what to say but charlie and nick are cute but also the storyline was heartbreaking? is the best way i can describe it. even though i haven't personally experienced it, but hearing charlie's story more in this volume was sad and i feel sympathetic towards him.. but i'm glad he's changing his perspective in terms of himself for the better.", ,
62,daydream,hannah grace,3.75,75.00%,448,"2,024",romance,sports,2024-09-30,2024-10-07,8.0,"ah yes another book in this series that i read and will (if they keep going) continue to read even though they are… lowkey kinda mid. yes the character arcs were enjoyable but man, it really felt directionless in terms of plot, even if romance novels tend to have more character-driven plot lines. 

so first, more on the plot. it really felt like we weren’t even in the car to go anywhere. i really felt that directionless feeling as i was reading, making it hard to stay focused on the story. the closest connection i could make it that this more meandering storytelling was reflective of henry’s (and sorta halle’s) internal battles, which i guess?? the closest other thing i can think of was the premise being plot-ish with henry needing to pass thorton’s class and halle needing experiences for her book, but that olotline wrapped up midway through the book… so yeah. i need some semblance of a plot in a book even with a romance book. 

i think on top of that, we get teased with friends group dynamics despite the fact that one of halle’s biggest regret? fear? is that she has no friends. that’s wasn’t a big of a thing in the book as i thought it would be, as halle and henry mostly spend time just by themselves and the respective friend groups show up only here and there. as someone who really enjoys friend dynamics in books, this was a disappointing aspect, especially when it was a bigger element in the other books (icebreakers & wildfire). 

overall it was fun but it fell more flat in some aspects. but yet, i enjoyed the more serious/mature topics of adhd and eldest daughter syndrome for henry and halle respectively. 
", ,
63,the ex vows,jessica joyce,4.25,85.00%,399,"2,024",romance,small-town,2024-10-10,2024-10-16,7.0,"whoops i forgot to write a review this morning since i finished reading this book before bed lol

but i really enjoyed this one. yes the miscommunication is strong but i felt like it made sense with the conflict of the main story, as the mc and ml had strong insecurities and anxieties with abandonment (though ml was slightly different with financial security related). probably because this was the main conflict, georgia's constant fear of her friends leaving her or drifting apart, is/was a very real fear or insecurity that i had/sorta still have. 

also i love friend group dynamics and wedding planning trope so this was a blast, even if there was rom-com level chaos happening with fires, cancelations, and rain lol. i can see why it would get annoying for others when reading it, but weirdly was fun? and like wanting to see how georgia and eli navigate through the chaos to salvage adam and grace's wedding. 

my brain is kinda fuzzy on more things but yes this was fun and i liked it and yes it made me cry, probably because i'm pms-ing but also the topics about drifting friendships happening in life, and becoming more of a real thing in your 20's felt all too real", ,
64,heartstopper: volume five,alice oseman,4.00,80.00%,336,"2,023",romance,teen/ya,2024-10-22,2024-10-22,1.0,"picked this up, a. to continue the series, especially now that the last volume is currently updating (and will have to probably wait until it finishes or mostly finishes because waiting inbetween updates is rough for me lol) and b. a half-hearted attempt at my tenative goal of reading 100 books this year. i've never done it before and i've always wanted to. and this year was the year that i really got to branch out and do things that i've been meaning to do but never did. (even though i've ticked off like three-four things out of a gajillion xd)

this, like the rest of this series, was very cute and heartwarming. and i really feel sad/happy for charlie, especially in retrospect to all the tumultuous things that has happened in his life
", ,
65,the assassin's blade,sarah j. maas,4.25,85.00%,448,"2,014",fantasy,teen/ya,2024-10-07,2024-10-24,18.0,"second read through~ though my feelings are roughly the same since the first time.

all the tales of celaena sardothien, at least some of the wild ones that became legend feeling, those that referenced to in the books. the last two were just heartbreaking while the pirate lord and the desert ones were thrilling to read. 

average rating: 4.2
overall rating: 4.25

—-
individual reviews/thoughts:

the pirate lord
ah yes the somewhat infamous story about captain rolfe.. a solid fun one
4.25 stars

the healer
interesting story but after reading the pirate lord this one was less intense with the storyline
3.75 stars

the desert
a classic one. really enjoy and it’s been long enough that i forgot about the twist. 
4.5 stars

the underworld
one of the more bittersweet ones, as celaena realizes the web she’s in, with arobynn’s abuse and manipulation. still good though, the continuation? or start of her relationship with sam. 
4.25 stars

the empire
oof. an intense one. the end of the beginning. how sam and celaena were betrayed and how she ended up in the salt mines in the beginning of throne of glass. 
4.25 stars", ,
66,maus: a survivor's tale ii: and here my troubles began,art spiegelman,4.00,80.00%,144,"1,991",memoir,historical,2023-01-24,2024-10-25,641.0,"after a long time of reading this on and off, i finally sat down and finished it..

it's definitely an interesting story, especially the unique way of portraying the war, using cat and mouse type of metaphor. probably due to my fascination with this time period, has me enjoying this more? 

maybe in the future i should read them more closely back to back, as the details of the first volume is sort of hazy as it's been three years since i finished the first one, and nearly two years since i've started this volume. 

idk what else to say, it's been two years since i read the first half of this and only now reading the second half so even my memories is hazy lol", ,
67,the return of the prodigal son: a story of homecoming,henri j.m. nouwen,4.50,90.00%,160,"1,991",religion,non-fiction,2024-05-21,2024-10-29,162.0,"it took so long to read this, for no reason other than i would put it down after reading about each character section from the story in the span of a day or two, then forget about it then remember and pick it up a month or two later. finally was motivated to finish it now.

not much to say other than it was really emotional reading this, but also at the same time engaging my theological side of understanding and studying. how henri (and how i also felt) went through each of the main characters in the prodigal son parable, breaking down who they are and what they represent, and how much he resonated with each one, at different points of his faith walk. how one can be lost, realizing the need to come home in tears, asking for forgiveness, like the younger brother. as well as the older brother, feeling bitter and resentful of others receiving love, feeling like the ""diligent one"" not receiving any praise or reward, compared to the reckless, immature younger brother. and finally the father, having both maternal and paternal visions of love for the children, acceptance with open arms no matter the circumstance. the beauty in the full circle narrative, was a pleasure to read about. 

will definitely want to read this again in the future, to re-reflect on myself at that point in my life, but also to remember this eye-opening breakdown of such a common parable, how much of God's love is free and available.", ,
68,empire of storms,sarah j. maas,5.00,100.00%,689,"2,016",fantasy,adult,2024-10-25,2024-11-01,8.0,"i've spent the last 30? min of the last 6-7 chapters, sobbing..?? it just came out of me and i'm not even pms-ing either so.. but my god that ending, that gut-wrenching tie together all those pieces scattered. and the thing is that since this was my second read, i remembered literally nothing from this book compared to the previous books, the only faint memory was the entrapment part? of that ending and better yet, i even misremembered who did the entrapping lmaooo so .. yeah. this was a shock to read but also fun? because since it's been almost 8 years since i've read it, so it was nearly like reading the book again for the first time.

i think this book really tops the series, with queen of shadows being a very very close second. i loved how we get combined elements of adventuring across the continents and politicking (not really but sorta) in various environments and all the team ups and character appearances from nearly every character that had a significant presence from the four previous books. and that is something that i really really love in stories, a large-scale avengers endgame-like team up to try and defeat the big bad. and also just large group dynamics, especially knowing the backstories or secretive elements of each character. 

probably because of the adventuring and teaming up i flew through this book fast. and knowing that i have to pause reading the series to read a romance novel that i have library rented and THEN when i can go back in i don't even get the satisfaction of reading more about the main gang and are kinda forced into this sidequest with chaol and nesryn.... sigh. it's fine but it feels like a stretch of time. (not to mention that probably during this time i'll be getting a lot of library books that will be free to rent that i've been waiting months on the waitlist... so it'll delay continuing even more... PAIN)

i really felt like the characters were all so strong, the main cast and their own strengths and weaknesses. how many secrets and layers of things only portions of the cast know about and other don't. shifting back and forth with pov's was so intense and there were definitely points where i was left on cliffhangers for one pov to jump to a completely different one, on the different part of the continent.. some minor agony.. 

and even thinking about how much aelin held in, not necessarily because she didn't trust her court, but rather that she was so afraid of letting them down if her grand scheme didn't work. the burden that she placed on herself, for plans upon plans, contingencies and such.. damn

i did also notice, not that it's necessarily a bad thing, but how sjm sorta starts shuffling couples together, pretty heavily in this book. this being for the main cast, basically everyone except gavriel and fenrys. and that's probably a common thing? that sjm does since i remember that in the acotar series the main cast/group also follow a similar pattern of everyone being paired off, and (probably) will ride off into the sunset together.. probably.

overall i really loved this for the strong intense distinct characters and cast/group dynamics with chaos and hyjinks that ensued. along with the pieces of the puzzle in terms of overall plot, falling into place. very satisfying even if it did break my heart </3 and yeah my head hurts now from all that crying that i did during the last 6 or so chapters of reading.. LOL

last note: minor spoiler; glad i read assassin's blade in the series right after queen of shadows.. refreshed on certain characters and glad we got to see them as they appear :)
", ,
